Problem;Number of Iterations;Termination Criterion;Makespan;Time (s);%Gap
ta23;1000;5;2397;93.125;3.1
ta23;1000;10;2430;89.671875;4.5
ta23;1000;20;2410;85.859375;3.6
ta23;2500;5;2383;234.4375;2.5
ta23;2500;10;2354;222.953125;1.2
ta23;2500;20;2380;214.890625;2.3
ta24;50;5;2364;4.53125;6.3
ta24;50;10;2366;4.25;6.4
ta24;50;20;2334;4.15625;5
ta24;100;5;2365;9.25;6.4
ta24;100;10;2309;8.671875;3.9
ta24;100;20;2357;8.546875;6
ta24;250;5;2299;23.015625;3.4
ta24;250;10;2320;22.25;4.4
ta24;250;20;2335;21.09375;5
ta24;500;5;2276;47.203125;2.4
ta24;500;10;2282;44.765625;2.7
ta24;500;20;2289;43.140625;3
ta24;1000;5;2285;93.90625;2.8
ta24;1000;10;2322;89.953125;4.5
ta24;1000;20;2286;86.34375;2.8
ta24;2500;5;2324;232.21875;4.5
ta24;2500;10;2251;224.109375;1.3
ta24;2500;20;2279;215.796875;2.5
ta25;50;5;2383;4.40625;4
ta25;50;10;2415;4.8125;5.4
ta25;50;20;2407;4.09375;5.1
ta25;100;5;2376;9.5;3.7
ta25;100;10;2431;8.640625;6.1
ta25;100;20;2391;8.703125;4.4
ta25;250;5;2355;23;2.8
ta25;250;10;2392;22.046875;4.4
ta25;250;20;2403;21.078125;4.9
ta25;500;5;2374;46.953125;3.6
ta25;500;10;2367;44.78125;3.3
ta25;500;20;2358;42.609375;2.9
ta25;1000;5;2414;92.9375;5.4
ta25;1000;10;2335;88.390625;1.9
ta25;1000;20;2355;86.171875;2.8
ta25;2500;5;2319;231.3125;1.2
ta25;2500;10;2313;222.703125;1
ta25;2500;20;2331;214.28125;1.7
ta26;50;5;2321;4.8125;4.3
ta26;50;10;2337;4.125;5
ta26;50;20;2347;3.984375;5.4
ta26;100;5;2298;9.171875;3.2
ta26;100;10;2323;8.53125;4.4
ta26;100;20;2341;8.78125;5.2
ta26;250;5;2298;22.953125;3.2
ta26;250;10;2310;22.5625;3.8
ta26;250;20;2342;21.125;5.2
ta26;500;5;2333;46.703125;4.8
ta26;500;10;2297;44.53125;3.2
ta26;500;20;2279;42.9375;2.4
ta26;1000;5;2310;93.046875;3.8
ta26;1000;10;2248;88.390625;1
ta26;1000;20;2302;86.65625;3.4
ta26;2500;5;2304;233.1875;3.5
ta26;2500;10;2270;227.9375;2
ta26;2500;20;2274;214.515625;2.2
ta27;50;5;2395;4.71875;5.4
ta27;50;10;2390;4.25;5.1
ta27;50;20;2397;4;5.5
ta27;100;5;2387;9.4375;5
ta27;100;10;2412;8.546875;6.1
ta27;100;20;2424;8.828125;6.6
ta27;250;5;2373;22.953125;4.4
ta27;250;10;2374;22.265625;4.4
ta27;250;20;2363;21.046875;4
ta27;500;5;2361;46.734375;3.9
ta27;500;10;2336;44.84375;2.8
ta27;500;20;2359;43.1875;3.8
ta27;1000;5;2381;93.25;4.8
ta27;1000;10;2349;89.546875;3.3
ta27;1000;20;2333;86.546875;2.6
ta27;2500;5;2340;231.484375;2.9
ta27;2500;10;2314;223.359375;1.8
ta27;2500;20;2343;216.59375;3.1
ta28;50;5;2313;4.46875;5.1
ta28;50;10;2316;4.765625;5.3
ta28;50;20;2329;4.390625;5.9
ta28;100;5;2330;9.234375;5.9
ta28;100;10;2348;9.015625;6.7
ta28;100;20;2303;8.71875;4.7
ta28;250;5;2272;23.1875;3.3
ta28;250;10;2288;22.171875;4
ta28;250;20;2320;21.828125;5.5
ta28;500;5;2281;46.734375;3.7
ta28;500;10;2298;44.703125;4.5
ta28;500;20;2275;42.625;3.4
ta28;1000;5;2288;97.6875;4
ta28;1000;10;2268;86.75;3.1
ta28;1000;20;2295;84.671875;4.3
ta28;2500;5;2297;292.53125;4.4
ta28;2500;10;2256;305.953125;2.5
ta28;2500;20;2239;295.078125;1.8
ta29;50;5;2330;5.796875;4.2
ta29;50;10;2372;5.828125;6
ta29;50;20;2361;5.53125;5.5
ta29;100;5;2338;12.65625;4.5
ta29;100;10;2337;11.875;4.5
ta29;100;20;2410;9.34375;7.7
ta29;250;5;2317;23.875;3.6
ta29;250;10;2319;21.59375;3.7
ta29;250;20;2341;20.765625;4.6
ta29;500;5;2266;45.796875;1.3
ta29;500;10;2316;43.4375;3.5
ta29;500;20;2278;43.3125;1.8
ta29;1000;5;2295;91.484375;2.6
ta29;1000;10;2373;87.15625;6.1
ta29;1000;20;2312;83.625;3.4
ta29;2500;5;2312;226.28125;3.4
ta29;2500;10;2253;215.640625;0.7
ta29;2500;20;2282;209.03125;2
ta30;50;5;2347;4.265625;7.8
ta30;50;10;2301;4.078125;5.6
ta30;50;20;2358;3.859375;8.3
ta30;100;5;2300;9.046875;5.6
ta30;100;10;2330;8.3125;7
ta30;100;20;2298;8.09375;5.5
ta30;250;5;2254;22.328125;3.5
ta30;250;10;2334;21.46875;7.2
ta30;250;20;2293;20.59375;5.3
ta30;500;5;2300;45.125;5.6
ta30;500;10;2260;43.1875;3.8
ta30;500;20;2352;41.671875;8
ta30;1000;5;2255;90.609375;3.5
ta30;1000;10;2251;85.953125;3.4
ta30;1000;20;2275;83.015625;4.5
ta30;2500;5;2228;226.125;2.3
ta30;2500;10;2255;215.9375;3.5
ta30;2500;20;2251;208.8125;3.4
ta31;50;5;2763;5.171875;1.4
ta31;50;10;2740;5.390625;0.6
ta31;50;20;2741;4.859375;0.6
ta31;100;5;2752;11.03125;1
ta31;100;10;2756;10.265625;1.2
ta31;100;20;2752;10.046875;1
ta31;250;5;2752;29.515625;1
ta31;250;10;2767;26.3125;1.6
ta31;250;20;2729;25.34375;0.2
ta31;500;5;2752;55.65625;1
ta31;500;10;2752;52.84375;1
ta31;500;20;2752;51.25;1
ta31;1000;5;2752;110.296875;1
ta31;1000;10;2724;105.9375;0
ta31;1000;20;2729;102.4375;0.2
ta31;2500;5;2759;276.734375;1.3
ta31;2500;10;2729;263.875;0.2
ta31;2500;20;2729;255.734375;0.2
ta32;50;5;2961;5.328125;4.5
