Problem,Number of Iterations,Termination Criterion,Makespan,Time (s),%Gap
Taillard Benchmark/ta16.txt,1000,10,1435.0,106.375,2.7%
Taillard Benchmark/ta16.txt,1000,20,1440.0,84.6875,3.1%
Taillard Benchmark/ta16.txt,2500,5,1450.0,192.796875,3.8%
Taillard Benchmark/ta16.txt,2500,10,1410.0,182.375,0.9%
Taillard Benchmark/ta16.txt,2500,20,1424.0,173.453125,1.9%
Taillard Benchmark/ta17.txt,50,5,1556.0,3.5625,4.9%
Taillard Benchmark/ta17.txt,50,10,1586.0,3.890625,6.9%
Taillard Benchmark/ta17.txt,50,20,1623.0,3.28125,9.4%
Taillard Benchmark/ta17.txt,100,5,1548.0,7.25,4.3%
Taillard Benchmark/ta17.txt,100,10,1578.0,7.265625,6.3%
Taillard Benchmark/ta17.txt,100,20,1636.0,6.78125,10.2%
Taillard Benchmark/ta17.txt,250,5,1584.0,18.875,6.7%
Taillard Benchmark/ta17.txt,250,10,1532.0,17.609375,3.2%
Taillard Benchmark/ta17.txt,250,20,1550.0,17.890625,4.4%
Taillard Benchmark/ta17.txt,500,5,1540.0,38.78125,3.8%
Taillard Benchmark/ta17.txt,500,10,1516.0,36.578125,2.2%
Taillard Benchmark/ta17.txt,500,20,1549.0,34.90625,4.4%
Taillard Benchmark/ta17.txt,1000,5,1504.0,76.765625,1.3%
Taillard Benchmark/ta17.txt,1000,10,1518.0,73.078125,2.3%
Taillard Benchmark/ta17.txt,1000,20,1528.0,70.515625,3.0%
Taillard Benchmark/ta17.txt,2500,5,1518.0,191.578125,2.3%
Taillard Benchmark/ta17.txt,2500,10,1505.0,180.203125,1.4%
Taillard Benchmark/ta17.txt,2500,20,1501.0,192.078125,1.1%
Taillard Benchmark/ta18.txt,50,5,1657.0,3.71875,7.7%
Taillard Benchmark/ta18.txt,50,10,1702.0,3.53125,10.7%
Taillard Benchmark/ta18.txt,50,20,1669.0,3.265625,8.5%
Taillard Benchmark/ta18.txt,100,5,1670.0,7.234375,8.6%
Taillard Benchmark/ta18.txt,100,10,1628.0,7.25,5.9%
Taillard Benchmark/ta18.txt,100,20,1674.0,6.578125,8.8%
Taillard Benchmark/ta18.txt,250,5,1638.0,19.203125,6.5%
Taillard Benchmark/ta18.txt,250,10,1641.0,17.328125,6.7%
Taillard Benchmark/ta18.txt,250,20,1632.0,17.125,6.1%
Taillard Benchmark/ta18.txt,500,5,1629.0,37.5625,5.9%
Taillard Benchmark/ta18.txt,500,10,1577.0,43.859375,2.5%
Taillard Benchmark/ta18.txt,500,20,1581.0,46.421875,2.8%
Taillard Benchmark/ta18.txt,1000,5,1611.0,98.21875,4.7%
Taillard Benchmark/ta18.txt,1000,10,1594.0,94.296875,3.6%
Taillard Benchmark/ta18.txt,1000,20,1605.0,89.734375,4.4%
Taillard Benchmark/ta18.txt,2500,5,1596.0,225.0,3.8%
Taillard Benchmark/ta18.txt,2500,10,1594.0,186.328125,3.6%
Taillard Benchmark/ta18.txt,2500,20,1575.0,178.046875,2.4%
Taillard Benchmark/ta19.txt,50,5,1683.0,3.8125,5.6%
Taillard Benchmark/ta19.txt,50,10,1711.0,3.71875,7.4%
Taillard Benchmark/ta19.txt,50,20,1700.0,3.34375,6.7%
Taillard Benchmark/ta19.txt,100,5,1682.0,7.703125,5.6%
Taillard Benchmark/ta19.txt,100,10,1681.0,7.578125,5.5%
Taillard Benchmark/ta19.txt,100,20,1668.0,6.671875,4.7%
Taillard Benchmark/ta19.txt,250,5,1632.0,19.625,2.4%
Taillard Benchmark/ta19.txt,250,10,1654.0,18.34375,3.8%
Taillard Benchmark/ta19.txt,250,20,1644.0,17.3125,3.2%
Taillard Benchmark/ta19.txt,500,5,1649.0,38.203125,3.5%
Taillard Benchmark/ta19.txt,500,10,1651.0,36.890625,3.6%
Taillard Benchmark/ta19.txt,500,20,1636.0,35.46875,2.7%
Taillard Benchmark/ta19.txt,1000,5,1638.0,78.0625,2.8%
Taillard Benchmark/ta19.txt,1000,10,1636.0,74.75,2.7%
Taillard Benchmark/ta19.txt,1000,20,1638.0,71.625,2.8%
Taillard Benchmark/ta19.txt,2500,5,1668.0,196.421875,4.7%
Taillard Benchmark/ta19.txt,2500,10,1627.0,191.203125,2.1%
Taillard Benchmark/ta19.txt,2500,20,1662.0,179.9375,4.3%
Taillard Benchmark/ta20.txt,50,5,1703.0,3.703125,7.0%
Taillard Benchmark/ta20.txt,50,10,1705.0,3.484375,7.2%
Taillard Benchmark/ta20.txt,50,20,1726.0,3.921875,8.5%
Taillard Benchmark/ta20.txt,100,5,1678.0,7.46875,5.5%
Taillard Benchmark/ta20.txt,100,10,1681.0,7.5,5.7%
Taillard Benchmark/ta20.txt,100,20,1737.0,6.890625,9.2%
Taillard Benchmark/ta20.txt,250,5,1659.0,19.203125,4.3%
Taillard Benchmark/ta20.txt,250,10,1693.0,18.421875,6.4%
Taillard Benchmark/ta20.txt,250,20,1644.0,18.03125,3.3%
Taillard Benchmark/ta20.txt,500,5,1647.0,38.921875,3.5%
Taillard Benchmark/ta20.txt,500,10,1650.0,36.796875,3.7%
Taillard Benchmark/ta20.txt,500,20,1665.0,36.328125,4.7%
Taillard Benchmark/ta20.txt,1000,5,1645.0,78.515625,3.4%
Taillard Benchmark/ta20.txt,1000,10,1639.0,73.484375,3.0%
Taillard Benchmark/ta20.txt,1000,20,1665.0,72.03125,4.7%
Taillard Benchmark/ta20.txt,2500,5,1671.0,194.90625,5.0%
Taillard Benchmark/ta20.txt,2500,10,1626.0,189.15625,2.2%
Taillard Benchmark/ta20.txt,2500,20,1638.0,177.515625,3.0%
Taillard Benchmark/ta21.txt,50,5,2445.0,4.5,6.4%
Taillard Benchmark/ta21.txt,50,10,2481.0,4.515625,8.0%
Taillard Benchmark/ta21.txt,50,20,2401.0,4.0,4.5%
Taillard Benchmark/ta21.txt,100,5,2422.0,9.375,5.4%
Taillard Benchmark/ta21.txt,100,10,2406.0,8.375,4.7%
Taillard Benchmark/ta21.txt,100,20,2483.0,8.625,8.1%
Taillard Benchmark/ta21.txt,250,5,2396.0,23.015625,4.3%
Taillard Benchmark/ta21.txt,250,10,2360.0,22.171875,2.7%
Taillard Benchmark/ta21.txt,250,20,2400.0,21.109375,4.5%
Taillard Benchmark/ta21.txt,500,5,2350.0,46.78125,2.3%
Taillard Benchmark/ta21.txt,500,10,2377.0,44.359375,3.5%
Taillard Benchmark/ta21.txt,500,20,2366.0,42.703125,3.0%
Taillard Benchmark/ta21.txt,1000,5,2398.0,93.890625,4.4%
Taillard Benchmark/ta21.txt,1000,10,2349.0,93.765625,2.3%
Taillard Benchmark/ta21.txt,1000,20,2321.0,86.6875,1.0%
Taillard Benchmark/ta21.txt,2500,5,2372.0,233.953125,3.3%
Taillard Benchmark/ta21.txt,2500,10,2335.0,224.546875,1.7%
Taillard Benchmark/ta21.txt,2500,20,2335.0,215.53125,1.7%
